"Label","DKK","EUR","NOK","PLN","RSD","SEK","TRY","USD","Country"
"Apartment (1 bedroom) in City Centre",4543.17,608.98,6990.68,2603.46,71407.15,6735.82,27748.3,528.23,"Estonia"
"Apartment (1 bedroom) in City Centre",4669.4,625.9,7184.91,2675.8,73391.14,6922.97,28519.26,542.91,"Lithuania"
"Apartment (1 bedroom) in City Centre",4878.81,653.97,7507.14,2795.8,76682.54,7233.45,29798.28,567.26,"Croatia"
"Apartment (1 bedroom) in City Centre",5167.3,692.64,7951.04,2961.12,81216.87,7661.17,31560.28,600.8,"Slovenia"
"Apartment (1 bedroom) in City Centre",6260.38,839.16,9632.99,3587.51,98397.36,9281.8,38236.5,727.89,"Belgium"
"Apartment (1 bedroom) in City Centre",6493.44,870.4,9991.61,3721.06,102060.46,9627.34,39659.96,754.99,"Austria"
"Apartment (1 bedroom) in City Centre",6605.64,885.44,10164.26,3785.36,103824.01,9793.7,40345.26,768.03,"Germany"
"Apartment (1 bedroom) in City Centre",6668.01,893.8,10260.22,3821.1,104804.28,9886.17,40726.18,775.28,"Cyprus"
"Apartment (1 bedroom) in City Centre",6812.66,913.19,10482.81,3903.99,107077.89,10100.64,41609.69,792.1,"Spain"
"Apartment (1 bedroom) in City Centre",12427.28,1665.79,19122.15,7121.45,195325.48,18425.02,75902.07,1444.91,"Luxembourg"
"Apartment (1 bedroom) in City Centre",5074.74,680.23,7808.63,2908.08,79762.16,7523.95,30995,590.04,"Poland"
"Apartment (1 bedroom) in City Centre",7838.83,1050.74,12061.79,4492.04,123206.62,11622.06,47877.2,911.42,"Denmark"
"Apartment (1 bedroom) in City Centre",6022.03,807.21,9266.24,3450.92,94651.1,8928.42,36780.73,700.18,"Sweden"
"Apartment (1 bedroom) in City Centre",8370.99,1122.07,12880.64,4796.99,131570.84,12411.05,51127.48,973.29,"Norway"
"Apartment (1 bedroom) in City Centre",4124.39,552.85,6346.3,2363.48,64825.04,6114.93,25190.54,479.54,"Turkey"
"Apartment (1 bedroom) in City Centre",3854.97,516.73,5931.73,2209.09,60590.36,5715.48,23544.97,448.21,"Serbia"
"Apartment (1 bedroom) Outside of Centre",3122.43,418.54,4804.56,1789.31,49076.73,4629.4,19070.86,363.04,"Lithuania"
"Apartment (1 bedroom) Outside of Centre",3249.48,435.57,5000.05,1862.11,51073.62,4817.76,19846.84,377.81,"Estonia"
"Apartment (1 bedroom) Outside of Centre",3746.34,502.17,5764.57,2146.84,58882.93,5554.42,22881.48,435.58,"Croatia"
"Apartment (1 bedroom) Outside of Centre",4256.99,570.62,6550.33,2439.47,66909.17,6311.53,26000.42,494.96,"Slovenia"
"Apartment (1 bedroom) Outside of Centre",4998.77,670.05,7691.72,2864.54,78568.03,7411.31,30530.97,581.2,"Germany"
"Apartment (1 bedroom) Outside of Centre",5283.75,708.25,8130.23,3027.85,83047.25,7833.83,32271.56,614.34,"Austria"
"Apartment (1 bedroom) Outside of Centre",5306.36,711.28,8165.02,3040.81,83402.54,7867.35,32409.62,616.97,"Spain"
"Apartment (1 bedroom) Outside of Centre",5336.5,715.32,8211.39,3058.08,83876.25,7912.03,32593.7,620.47,"Cyprus"
"Apartment (1 bedroom) Outside of Centre",5496.15,736.72,8457.05,3149.56,86385.55,8148.73,33568.8,639.03,"Belgium"
"Apartment (1 bedroom) Outside of Centre",10775.5,1444.38,16580.51,6174.89,169363.62,15976.04,65813.47,1252.86,"Luxembourg"
"Apartment (1 bedroom) Outside of Centre",4095.33,548.95,6301.59,2346.83,64368.32,6071.85,25013.06,476.16,"Poland"
"Apartment (1 bedroom) Outside of Centre",6082.44,815.31,9359.19,3485.54,95600.61,9017.99,37149.7,707.2,"Denmark"
"Apartment (1 bedroom) Outside of Centre",4744.45,635.96,7300.4,2718.81,74570.81,7034.25,28977.67,551.63,"Sweden"
"Apartment (1 bedroom) Outside of Centre",6333.06,848.9,9744.83,3629.16,99539.74,9389.56,38680.42,736.34,"Norway"
"Apartment (1 bedroom) Outside of Centre",2927.4,392.4,4504.46,1677.54,46011.31,4340.24,17879.66,340.37,"Turkey"
"Apartment (1 bedroom) Outside of Centre",2759.41,369.88,4245.97,1581.28,43370.93,4091.17,16853.63,320.83,"Serbia"
"Apples (1kg)",9.47,1.27,14.58,5.43,148.92,14.05,57.87,1.1,"Lithuania"
"Apples (1kg)",11.19,1.5,17.22,6.41,175.89,16.59,68.35,1.3,"Croatia"
"Apples (1kg)",12.98,1.74,19.97,7.44,204.03,19.25,79.28,1.51,"Slovenia"
"Apples (1kg)",13.58,1.82,20.89,7.78,213.41,20.13,82.93,1.58,"Estonia"
"Apples (1kg)",15.97,2.14,24.57,9.15,250.93,23.67,97.51,1.86,"Spain"
"Apples (1kg)",18.28,2.45,28.12,10.47,287.28,27.1,111.63,2.13,"Belgium"
"Apples (1kg)",18.5,2.48,28.47,10.6,290.8,27.43,113,2.15,"Austria"
"Apples (1kg)",19.7,2.64,30.31,11.29,309.56,29.2,120.29,2.29,"Cyprus"
"Apples (1kg)",20.07,2.69,30.88,11.5,315.42,29.75,122.57,2.33,"Luxembourg"
"Apples (1kg)",20.74,2.78,31.91,11.88,325.97,30.75,126.67,2.41,"Germany"
"Apples (1kg)",7.19,0.96,11.06,4.12,113,10.66,43.91,0.84,"Poland"
"Apples (1kg)",20.86,2.8,32.1,11.95,327.87,30.93,127.41,2.43,"Denmark"
"Apples (1kg)",20.55,2.75,31.62,11.78,323.02,30.47,125.52,2.39,"Sweden"
"Apples (1kg)",22.25,2.98,34.23,12.75,349.65,32.98,135.87,2.59,"Norway"
"Apples (1kg)",8.83,1.18,13.59,5.06,138.86,13.1,53.96,1.03,"Turkey"
"Apples (1kg)",8.23,1.1,12.67,4.72,129.42,12.21,50.29,0.96,"Serbia"
"Average Monthly Net Salary (After Tax)",9927.11,1330.66,15275.08,5688.73,156029.16,14718.2,60631.8,1154.22,"Lithuania"
"Average Monthly Net Salary (After Tax)",10544.3,1413.39,16224.77,6042.41,165729.82,15633.26,64401.41,1225.98,"Croatia"
"Average Monthly Net Salary (After Tax)",10819.81,1450.32,16648.7,6200.29,170060.12,16041.74,66084.13,1258.01,"Slovenia"
"Average Monthly Net Salary (After Tax)",10958.05,1468.85,16861.41,6279.51,172232.9,16246.7,66928.45,1274.08,"Estonia"
"Average Monthly Net Salary (After Tax)",12066.5,1617.43,18567.01,6914.7,189654.94,17890.11,73698.53,1402.96,"Cyprus"
"Average Monthly Net Salary (After Tax)",12990.68,1741.31,19989.07,7444.31,204180.73,19260.33,79343.15,1510.42,"Spain"
"Average Monthly Net Salary (After Tax)",18617.01,2495.48,28646.43,10668.47,292612.42,27602.07,113707.06,2164.59,"Austria"
"Average Monthly Net Salary (After Tax)",18733.02,2511.03,28824.94,10734.95,294435.76,27774.07,114415.6,2178.07,"Belgium"
"Average Monthly Net Salary (After Tax)",21466.32,2877.41,33030.73,12301.27,337396.37,31826.54,131109.78,2495.87,"Germany"
"Average Monthly Net Salary (After Tax)",35562.24,4766.87,54720.46,20378.93,558948.72,52725.53,217203.42,4134.8,"Luxembourg"
"Average Monthly Net Salary (After Tax)",10564.13,1416.05,16255.27,6053.77,166041.44,15662.66,64522.5,1228.28,"Poland"
"Average Monthly Net Salary (After Tax)",25736.13,3449.75,39600.79,14748.08,404507.01,38157.07,157188.49,2992.32,"Denmark"
"Average Monthly Net Salary (After Tax)",20262.03,2715.98,31177.67,11611.15,318468.04,30041.03,123754.37,2355.85,"Sweden"
"Average Monthly Net Salary (After Tax)",5252.86,704.11,8082.7,3010.15,82561.73,7788.03,32082.89,610.75,"Turkey"
"Average Monthly Net Salary (After Tax)",24027.69,3220.74,36971.97,13769.06,377654.62,35624.09,146753.85,2793.68,"Norway"
"Average Monthly Net Salary (After Tax)",5927.24,794.51,9120.39,3396.61,93161.32,8787.89,36201.81,689.16,"Serbia"
