"Program_Title","Institution","Level","City","Link","Field","Language","Country","ECTS","Department","Duration","Tuition","Contact_Email","Form","Institution_URL","Credits_Percent","ECTS_Foreign","Cost_per_ECTS","Subjects_Foreign","Linguistic_Requirements"
"Art & Science","Universität für angewandte Kunst Wien","Master","Wien","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/media-design/40-art-science-e-12-3-wien.en.html","Art Studies","English","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bass Tuba","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/78-bass-tuba-2-3-salzburg.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bass Tuba","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/79-bass-tuba-12-3-salzburg.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Art Education","Universität Mozarteum Salzburg, Verbundregion Mitte","Bachelor","Salzburg","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/art-education/100-art-education-21-3-salzburg.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Art Education","Kunstuniversität Linz, Verbundregion Mitte","Bachelor","Linz","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/art-education/101-art-education-21-3-linz.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cinematography","Universität für Musik und darstellende Kunst Wien","Bachelor","Wien","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/film-and-television/102-cinematography-2-3-wien.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camera Technology and Cinematography","Universität für Musik und darstellende Kunst Wien","Master","Wien","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/film-and-television/103-camera-technology-and-cinematography-12-3-wien.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wind Orchestra Conducting","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/130-wind-orchestra-conducting-12-3-salzburg.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Recorder","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/131-recorder-2-3-salzburg.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Recorder","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/132-recorder-12-3-salzburg.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Screenwriting","Universität für Musik und darstellende Kunst Wien","Bachelor","Wien","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/film-and-television/140-screenwriting-2-3-wien.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Screenplay Writing and Dramaturgy","Universität für Musik und darstellende Kunst Wien","Master","Wien","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/film-and-television/141-screenplay-writing-and-dramaturgy-12-3-wien.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stage Design / Scenography","Akademie der bildenden Künste Wien","Master","Wien","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/stage-design/143-stage-design-scenography-3-3-wien.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stage Design","Universität für angewandte Kunst Wien","Master","Wien","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/stage-design/144-stage-design-3-3-wien.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stage Design","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/stage-design/145-stage-design-3-3-salzburg.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stage Design","Universität für Musik und darstellende Kunst Graz","Master","Graz","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/stage-design/146-stage-design-3-3-graz.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harpsichord","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/keyboard-instruments/151-harpsichord-2-3-salzburg.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
