"Title","University_Name","Program_Type","Location","Detail_Link","Area","Language"
"Art & Science","Universität für angewandte Kunst Wien","Master","Wien","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/media-design/40-art-science-e-12-3-wien.en.html","Art Studies","English"
"Bass Tuba","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/78-bass-tuba-2-3-salzburg.en.html","Art Studies","German"
"Bass Tuba","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/79-bass-tuba-12-3-salzburg.en.html","Art Studies","German"
"Art Education","Universität Mozarteum Salzburg, Verbundregion Mitte","Bachelor","Salzburg","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/art-education/100-art-education-21-3-salzburg.en.html","Art Studies","German"
"Art Education","Kunstuniversität Linz, Verbundregion Mitte","Bachelor","Linz","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/art-education/101-art-education-21-3-linz.en.html","Art Studies","German"
"Cinematography","Universität für Musik und darstellende Kunst Wien","Bachelor","Wien","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/film-and-television/102-cinematography-2-3-wien.en.html","Art Studies","German"
"Camera Technology and Cinematography","Universität für Musik und darstellende Kunst Wien","Master","Wien","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/film-and-television/103-camera-technology-and-cinematography-12-3-wien.en.html","Art Studies","German"
"Wind Orchestra Conducting","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/130-wind-orchestra-conducting-12-3-salzburg.en.html","Art Studies","German"
"Recorder","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/131-recorder-2-3-salzburg.en.html","Art Studies","German"
"Recorder","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/132-recorder-12-3-salzburg.en.html","Art Studies","German"
"Screenwriting","Universität für Musik und darstellende Kunst Wien","Bachelor","Wien","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/film-and-television/140-screenwriting-2-3-wien.en.html","Art Studies","German"
"Screenplay Writing and Dramaturgy","Universität für Musik und darstellende Kunst Wien","Master","Wien","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/film-and-television/141-screenplay-writing-and-dramaturgy-12-3-wien.en.html","Art Studies","German"
