"Programme","Programme_URL","Institution","ECTS","Language","Degree_Level"
"Bachelor in Aviation - Aeronautical Engineering - Manned Aviation","https://www.studyinflanders.behttps://www.vives.be/en/applied-engineering-and-technology/aeronautical-engineering","VIVES University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor in Aviation - Aeronautical Engineering - Unmanned Aircraft systems","https://www.studyinflanders.behttps://www.vives.be/en/applied-engineering-and-technology/unmanned-aircraft-systems-engelstalig","VIVES University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor in Aviation - Airline Pilot","https://www.studyinflanders.behttps://www.vives.be/en/applied-engineering-and-technology/airline-pilot","VIVES University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor in Hotel Management - Culinary Arts","https://www.studyinflanders.behttps://www.vives.be/en/commercial-sciences-business-management-and-informatics/bachelor-hotel-management-culinary-arts","VIVES University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor in Hotel Management-Hospitality Management","https://www.studyinflanders.behttps://www.vives.be/en/commercial-sciences-business-management-and-informatics/bachelor-hotel-management-hospitality","VIVES University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor in Urban Sustainability Studies (YUFE)","https://www.studyinflanders.behttps://www.uantwerpen.be/en/study/programmes/all-programmes/urban-sustainability-studies/","University of Antwerp","180 ECTS","English","Professional Bachelor"
"Bachelor of Applied Computer Science","https://www.studyinflanders.behttps://www.kdg.be/en/programmes/applied-computer-science","KdG University of Applied Sciences and Arts","180 ECTS","English","Professional Bachelor"
"Bachelor of Applied Computer Science","https://www.studyinflanders.behttps://www.ucll.be/en/bachelor-degree/programme/applied-computer-science","UCLL University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Applied Computer Science - Application Development","https://www.studyinflanders.behttp://thomasmore.be/en/eba-ad","Thomas More University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Applied Computer Science - Artificial Intelligence","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/applied-computer-science/artificial-intelligence/geel/full-programme","Thomas More University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Arts in Dance","https://www.studyinflanders.behttps://www.ap-arts.be/en/education/bachelor-dance","AP University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Automotive Technology","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/automotive-technology/automotive-technology/sint-katelijne-waver/full-programme","Thomas More University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Business Management","https://www.studyinflanders.behttps://www.odisee.be/en/programmes/bachelor-business-management-major-marketing","Odisee University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Business Management","https://www.studyinflanders.behttps://www.vives.be/en/commercial-sciences-business-management-and-informatics/business-management-english-programme","VIVES University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Creative Technologies & AI","https://www.studyinflanders.behttps://www.howest.be/en/programmes/bachelor/creative-technologies-and-artificial-intelligence","Howest University of Applied Sciences","60 ECTS","English","Professional Bachelor"
"Bachelor of Creative Technologies & AI (Short -Track)","https://www.studyinflanders.behttps://www.howest.be/en/programmes/bachelor/creative-technologies-artificial-intelligence","Howest University of Applied Sciences","60 ECTS","English","Professional Bachelor"
"Bachelor of Cybersecurity","https://www.studyinflanders.behttps://www.howest.be/en/programmes/bachelor/cybersecurity","Howest University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Digital Arts and Entertainment:  Interactive Sound Production","https://www.studyinflanders.behttp://www.digitalartsandentertainment.be/","Howest University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Digital Arts and Entertainment: 3D Animation","https://www.studyinflanders.behttp://www.digitalartsandentertainment.be/","Howest University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Digital Arts and Entertainment: Game Development","https://www.studyinflanders.behttp://www.digitalartsandentertainment.be/","Howest University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Digital Arts and Entertainment: Game Graphics Production","https://www.studyinflanders.behttp://www.digitalartsandentertainment.be/","Howest University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Digital Arts and Entertainment: Independent Game Production","https://www.studyinflanders.behttp://www.digitalartsandentertainment.be/","Howest University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Digital Arts and Entertainment: Visual Effects","https://www.studyinflanders.behttp://www.digitalartsandentertainment.be/","Howest University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Digital Design and Development","https://www.studyinflanders.behttps://www.devine.be/en/","Howest University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Electronics-ICT: Electronics","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/electronics-ict","Thomas More University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Electronics-ICT: ICT","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/electronics-ict","Thomas More University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Industrial Product Design","https://www.studyinflanders.behttps://www.howest.be/en/programmes/bachelor/industrial-product-design","Howest University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of Information Management and Multimedia - International Digital Experience Design","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/information-management-and-multimedia/international-digital-experience-design/mechelen/full-programme","Thomas More University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of International Business Management","https://www.studyinflanders.behttps://www.arteveldehogeschool.be/en/programmes/bachelor/international-business-management","Artevelde University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of International Business Management, Marketing - track in Belgium","https://www.studyinflanders.behttps://www.ucll.be/en/programmes/degree-programmes/complete-bachelor/international-business-management-marketing/track-in-belgium","UCLL University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of International Business Management, Marketing across Europe - track across Europe","https://www.studyinflanders.behttps://www.ucll.be/en/programmes/degree-programmes/bachelor/international-business-management-marketing/track-across-europe","UCLL University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of International Business Management: Data Science, Protection and Security","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/international-business-management/data-science-protection-and-security/mechelen/full-programme","Thomas More University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of International Business Management: Global Business","https://www.studyinflanders.behttps://www.kdg.be/en/global-business","KdG University of Applied Sciences and Arts","180 ECTS","English","Professional Bachelor"
"Bachelor of International Business Management: Global Supply Chain Management","https://www.studyinflanders.behttps://www.kdg.be/en/global-supply-chain-management","KdG University of Applied Sciences and Arts","180 ECTS","English","Professional Bachelor"
"Bachelor of International Business Management: Global Supply Chain Management","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/international-business-management/global-supply-chain-management/mechelen/full-programme","Thomas More University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of International Business Management: International Business and Trade","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/international-business-management/international-business-and-trade/mechelen/full-programme","Thomas More University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of International Business Management: International Entrepreneurship","https://www.studyinflanders.behttps://www.kdg.be/en/international-entrepreneurship","KdG University of Applied Sciences and Arts","180 ECTS","English","Professional Bachelor"
"Bachelor of International Communication and Media (short programme)","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/international-communication-and-media/branding-and-activation/mechelen/short-programme","Thomas More University of Applied Sciences","60 ECTS","English","Professional Bachelor"
"Bachelor of International Communication and Media: Branding and Activation","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/international-communication-and-media/branding-and-activation/mechelen/full-programme","Thomas More University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of International Communication and Media: Public and Corporate Affairs","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/international-communication-and-media/public-and-corporate-affairs/mechelen/full-programme","Thomas More University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of International Communication Management","https://www.studyinflanders.behttps://www.pxl.be/Pub/International/International-Students/Programmes/Degree-Programmes.html","PXL University of Applied Sciences and Arts","180 ECTS","English","Professional Bachelor"
"Bachelor of International Communication Management","https://www.studyinflanders.behttps://www.arteveldehogeschool.be/en/programmes/bachelor/international-communication-management","Artevelde University of Applied Sciences","180 ECTS","English","Professional Bachelor"
