"Title","Study_Level","Field","University","Language","Link"
"Business Economics, specialization in International Business","Bachelor","Economics, Business & Tourism","faculty of economics and business in rijeka","English","https://www.efri.uniri.hr/en/study_programs_in_english/203_0"
"Business Economics","Bachelor","Economics, Business & Tourism","university of dubrovnik","English","https://www.unidu.hr/business-economics-marketing-undergrad/"
"Bachelor Degree in Economics","Bachelor","Economics, Business & Tourism","university of zagreb","English","https://www.efzg.unizg.hr/bdie"
"Bachelor Degree in Business","Bachelor","Economics, Business & Tourism","university of zagreb","English","https://www.efzg.unizg.hr/default.aspx?id=10661"
"Digital Marketing","Bachelor","Economics, Business & Tourism","algebra bernays university","English","https://www.algebra.hr/visoko-uciliste/en/studij/undergraduate-professional-program/digital-marketing/"
"Global BusinessManagement/IB","Bachelor","Economics, Business & Tourism","rit croatia in zagreb","English","https://www.rit.edu/croatia/global-business-management-ib-bs"
"Entrepreneurship Economics","Bachelor","Economics, Business & Tourism","vern' university in zagreb","English","https://www.vernuni.eu/studying/"
"Tourism","Bachelor","Economics, Business & Tourism","vern' university in zagreb","English","https://www.vernuni.eu/studying/"
"Business Economics in Tourism and Hospitality, specialization in Hospitality Management","Bachelor","Economics, Business & Tourism","university of rijeka","English","https://fmtu.uniri.hr/en/study-programmes/undergraduate-study-in-english/hospitality-management"
"Hospitality and Tourism Management","Bachelor","Economics, Business & Tourism","rit croatia in dubrovnik","English","https://www.croatia.rit.edu/service-management-program-overview-program-overview/"
"Electrical Engineering and Information Technology","Bachelor","Technical Sciences","university of zagreb","English","https://www.fer.unizg.hr/en/studies"
"Computing","Bachelor","Technical Sciences","university of zagreb","English","https://www.fer.unizg.hr/en/studies"
"Web and Mobile Computing","Bachelor","Technical Sciences","rit croatia in zagreb","English","https://www.rit.edu/croatia/web-and-mobile-computing-bs"
"Applied Computer Engineering (sub-specialization in a) Software Engineering; b) System Engineering)","Bachelor","Technical Sciences","algebra bernays university","English","https://www.algebra.hr/visoko-uciliste/en/studij/undergraduate-professional-program/software-engineering/"
"Multimedia Production","Bachelor","Technical Sciences","algebra bernays university","English","https://www.algebra.hr/visoko-uciliste/en/studij/undergraduate-professional-program/multimedia-production/"
"Game Development","Bachelor","Technical Sciences","algebra bernays university","English","https://www.algebra.hr/visoko-uciliste/en/studij/undergraduate-professional-program/game-development/"
"New Media Design","Bachelor","Technical Sciences","rit croatia in zagreb","English","https://www.rit.edu/croatia/new-media-design-bfa"
"Market Communication Design (sub-specialization in a) Design, b) 3D Design)","Bachelor","Design","algebra bernays university","English","https://www.algebra.hr/visoko-uciliste/en/studij/undergraduate-professional-program/design/"
"International Relations","Bachelor","Social Sciences","libertas international university in zagreb","English","https://www.libertas.hr/en/study-programmes/"
"Psychology","Bachelor","Social Sciences","university of split","English","https://www.ffst.unist.hr/en/departments/psychology"
"Coach Studies","Bachelor","Social Sciences","university in zagreb","English","https://www.kif.unizg.hr/en/study/professional_study/graduate_studies"
"Forensic Sciences","Bachelor","Interdisciplinary Sciences","university of split","English","https://forenzika.unist.hr/en/undergraduate-university-study-of-forensics/"
"Language and Communication in a Multilingual Society (double major)","Bachelor","Humanities","university of zadar","English","https://lingvistika.unizd.hr/english/students-/study-programs/ba-program"
"Conservation and Restauration","Master","Arts","university of dubrovnik","English","https://www.unidu.hr/conservation-and-restauration-graduate/"
"Sculpture","Master","Arts","university of zagreb","English","https://www.alu.unizg.hr/alu/cms/front_content.php?idcat=394&lang=3"
"New Media","Master","Arts","university of zagreb","English","https://www.alu.unizg.hr/alu/cms/front_content.php?idart=615"
"Graphic Arts","Master","Arts","university of zagreb","English","https://www.alu.unizg.hr/alu/cms/front_content.php?idart=612"
"Painting","Master","Arts","university of zagreb","English","https://www.alu.unizg.hr/alu/cms/front_content.php?idcat=392&lang=3"
"Sleep Medicine","Master","Biomedicine And Health Sciences","university of split","English","https://mefst.unist.hr/studies/graduate-school/sleep-medicine-3698/3698"
"Biotechnology","Master","Biotechnical Sciences","university j. j. strossmayer in osijek","English","https://study.imbiotech.eu/"
"Digital Agriculture","Master","Biotechnical Sciences","university j. j. strossmayer in osijek","English","http://www.unios.hr/en/graduate-study-programme-digital-agriculture/"
"Environment, Agriculture and Resource Management","Master","Biotechnical Sciences","university of zagreb","English","https://www.agr.unizg.hr/en/study/en/3/Environment%2C+agriculture+and+resource+management"
