"Title","Link","University","Department","Study_Level","Duration","ECTS","Tuition","Language","Field"
"Architecture","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1290","University Of Cyprus","Department of Architecture","Bachelor","4 years","240",NA,"English","Architecture and Construction"
"Architecture","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1291","University Of Cyprus","Department of Architecture","Doctorate","4 years","240",NA,"English","Architecture and Construction"
"Civil And Environmental Engineering","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1309","University Of Cyprus","Department of Civil and Environmental Engineering","Bachelor","4 years","240",NA,"English","Architecture and Construction"
"Civil Engineering","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1310","University Of Cyprus","Department of Civil and Environmental Engineering","Master",NA,NA,NA,"English","Architecture and Construction"
"Civil Engineering/Construction and Transport Infrastructure Management","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1311","University Of Cyprus","Department of Civil and Environmental Engineering","Master","3 semsesters","90",NA,"English","Architecture and Construction"
"Civil Engineering/Earthquake Engineering","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1312","University Of Cyprus","Department of Civil and Environmental Engineering","Master","3 semsesters","90",NA,"English","Architecture and Construction"
"Civil Engineering/Geotechnical Engineering","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1313","University Of Cyprus","Department of Civil and Environmental Engineering","Master","3 semsesters","90",NA,"English","Architecture and Construction"
"Civil Engineering/Novel and Traditional Building Materials","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1314","University Of Cyprus","Department of Civil and Environmental Engineering","Master","3 semsesters","90",NA,"English","Architecture and Construction"
"Civil Engineering/Structural Analysis","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1315","University Of Cyprus","Department of Civil and Environmental Engineering","Master","3 semesters","90",NA,"English","Architecture and Construction"
"Field Archaeology on Land and Under the Sea","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1340","University Of Cyprus","Department of History and Archaeology","Master","3 semesters","107",NA,"English","Architecture and Construction"
