"Title","Subject","Degree","Institution","ECTS","Program_Link","Language"
"Accounting and Finance","Economics, commerce, management and accounting","Master (2 years) of Economics and Business Administration - Accounting and Finance","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/accounting-and-finance?filters=","English"
"Accounting, Strategy and Control (MSc)","Economics, commerce, management and accounting","Master (2 years) of Science in Economics and Business Administration","Copenhagen Business School (CBS)",120,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/accounting-strategy-and-control-msc?filters=","English"
"Actuarial Mathematics","Mathematics, natural- and computer science","Master (2 years) of Science in Actuarial Mathematics","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/actuarial-mathematics?filters=","English"
"Advanced Economics and Finance (MSc)","Economics, commerce, management and accounting","Master (2 years) of Science in Economics and Finance","Copenhagen Business School (CBS)",120,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/advanced-economics-and-finance-msc?filters=","English"
"Advanced Migration Studies","Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Master (2 years) of Arts in Advanced Migration Studies","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/south-campus/advanced-migration-studies?filters=","English"
"Advanced Postgraduate Diploma in music/Opera","Music and performing arts","Advanced Postgraduate Diploma of music","The Royal Opera Academy",180,"https://studyindenmark.dk/portal/the-royal-opera-academy/the-royal-opera-academy-23265/advanced-postgraduate-diploma-in-music-opera?filters=","English"
"Advanced Power Electronics, MSc in Engineering","Engineering","Master (2 years) of Science in Engineering (Advanced Power Electronics)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/esbjerg/advanced-power-electronics-msc-in-engineering?filters=","English"
"African studies","Health care, social services, and care services
                Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Master (2 years) of Arts in African studies","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/city-campus/african-studies?filters=","English"
"Agricultural Development","Agriculture and environment","Master (2 years) of Science in Agricultural Development","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/agricultural-development?filters=","English"
"Agricultural Economics","Agriculture and environment
                Economics, commerce, management and accounting","Master (2 years) of Science in Agricultural Economics","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/agricultural-economics?filters=","English"
"Agriculture","Agriculture and environment","Master (2 years) of Science in Agriculture","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/agriculture?filters=","English"
"Agrobiology","Agriculture and environment
                Mathematics, natural- and computer science","Master (2 years) of Agrobiology","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/agrobiology?filters=","English"
