"Programme_Name","Programme_Link","Degree_Type","University","Tuition_Fee","Contact_Email","Language"
"Veterinary Medicine","https://www.emu.ee/en/veterinary-medicine ","(integrated Bachelor's and Master's studies, 6 years)","Estonian University of Life Sciences","9600","study@emu.ee","English"
"Classical Music Perfomance","https://eamt.ee/en/departments/classical-music-performance/","Bachelor","Estonian Academy of Music and Theatre","EU & Ukraine 1600Non-EU 7500","admissions@eamt.ee","English"
"Jazz Studies","https://eamt.ee/en/departments/composition-and-improvisational-performing-arts/jazz-music/","Bachelor","Estonian Academy of Music and Theatre","EU & Ukraine 1600Non-EU 7500","admissions@eamt.ee","English"
"Composition and Music Technology","https://eamt.ee/en/departments/composition-and-improvisational-performing-arts/composition-and-music-technology/","Bachelor","Estonian Academy of Music and Theatre","EU & Ukraine 1600Non-EU 7500","admissions@eamt.ee","English"
"Composition and Improvisational Music","https://eamt.ee/en/departments/composition-and-improvisational-music/","Bachelor","Estonian Academy of Music and Theatre","EU & Ukraine 1600Non-EU 7500","admissions@eamt.ee","English"
"Commercial Aviation Management","https://lennuakadeemia.ee/admissions/cam","Bachelor","Estonian Aviation Academy","3780","admissions@eava.ee","English"
"Commercial Air Transport Pilot","https://lennuakadeemia.ee/admissions/catp","Bachelor","Estonian Aviation Academy","8100","admissions@eava.ee","English"
"Business Administration","http://www.ut.ee/bba","Bachelor","University of Tartu","4200","https://ut.ee/ask","English"
"Creativity and Business Innovation","https://euas.eu/program/creativity_and_business_innovation","Bachelor","Estonian Entrepreneurship University of Applied Sciences","EU 7120Non-EU 7520","admissions@euas.eu","English"
"Impactful Entrepreneurship","https://ebs.ee/en/impactful-entrepreneurship","Bachelor","Estonian Business School","7200","admission@ebs.ee","English"
"International Business Administration","https://ebs.ee/en/international-business-administration-ba","Bachelor","Estonian Business School","7500","admission@ebs.ee","English"
"International Business Administration","https://taltech.ee/en/bachelors-programmes/international-business-administration","Bachelor","Tallinn University of Technology","5000","study@taltech.ee","English"
"Creativity and Business Innovation","https://euas.eu/program/creativity_and_business_innovations__jp_","Bachelor","Estonian Entrepreneurship University of Applied Sciences","EU 5680Non-EU 6080","admissions@euas.eu","English"
"Cyber Security Engineering","https://taltech.ee/en/bachelors-programmes/cyber-security-engineering","Bachelor","Tallinn University of Technology","6000 for non-EU; free for EU/EEA","study@taltech.ee","English"
"Game Design and Development","https://euas.eu/program/game_design_and_development","Bachelor","Estonian Entrepreneurship University of Applied Sciences","EU 7120Non-EU 7520","admissions@euas.eu","English"
