"Level","Institution","Program_Title","Field","Cost","Language","Link"
"Short course","Martin Luther University Halle-Wittenberg","14th Current Literature – Here's What Germany Reads","German Language and Literature (German, Germanic Languages except English)","EUR 770","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5402/"
"Language course","Martin Luther University Halle-Wittenberg","29th International Summer Academy","German Language Course (including Literature and Culture Studies)","EUR 770","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4920/"
"Language course","Osnabrück University of Applied Sciences","33rd International Summer Language School","German Language Course (including Literature and Culture Studies)","EUR 890","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9019/"
"Short course and language course","Trier University","52nd Trier International Summer School: Germany and its Neighbouring Countries 2025","German Language Course (including Literature and Culture Studies)","EUR 770","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8289/"
"Language course","Martin Luther University Halle-Wittenberg","7th International Winter Academy","German Language Course (including Literature and Culture Studies)","EUR 770","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6324/"
"Short course","SRH University","7th Solar Winter School (hybrid)","Engineering in general","EUR 950","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5573/"
"PhD / Doctorate","University of Cologne","a.r.t.e.s. Graduate School for the Humanities Cologne","Languages and Cultural Studies in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4100/"
"PhD / Doctorate","Friedrich Schiller University Jena","Abbe School of Photonics – PhD/Doctoral Programme","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4341/"
"Preparatory course","Internationale Hochschule SDI München/International University SDI München","Academic German Preparation Course Munich: Intensive Courses at the International University Munich",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5160/"
"Language course","University of Passau","Academic German Year 2025/2026","German Language Course (including Literature and Culture Studies)","EUR 3,990","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9744/"
