"Title","University","Degree","Duration","Tuition","Link","Language"
"Beauty Therapy","St. Ignatius of Loyola College","Bachelor's studies (college)",3,5200,"https://studyin.lt/programs/beauty-therapy-3/","English"
"Hospitality Management","St. Ignatius of Loyola College","Bachelor's studies (college)",3,5200,"https://studyin.lt/programs/hospitality-management-2/","English"
"Social Work","St. Ignatius of Loyola College","Bachelor's studies (college)",3,5200,"https://studyin.lt/programs/social-work-6/","English"
"Pastoral Care","St. Ignatius of Loyola College","Bachelor's studies (college)",3,5200,"https://studyin.lt/programs/pastoral-care/","English"
"Innovative Communication and Entrepreneurship","Vilnius University","Bachelor's studies (university)",4,3700,"https://studyin.lt/programs/innovative-communication-and-entrepreneurship/","English"
"Linguistics (Baltic Linguistics)","Vilnius University","Master‘s studies",2,4606,"https://studyin.lt/programs/linguistics-baltic-linguistics/","English"
"Economics","Kaunas University of Technology","Bachelor's studies (university)",4,3176,"https://studyin.lt/programs/economics-7/","English"
"Politics, Philosophy and Society","Kaunas University of Technology","Bachelor's studies (university)",4,3176,"https://studyin.lt/programs/politics-philosophy-and-society/","English"
"Social Innovations and Research","Kaunas University of Technology","Master‘s studies",2,4606,"https://studyin.lt/programs/social-innovations-and-research/","English"
"Innovation Management and Entrepreneurship","Kaunas University of Technology","Master‘s studies",2,4606,"https://studyin.lt/programs/innovation-management-and-entrepreneurship-2/","English"
"Design for Sustainable Future","Kaunas University of Technology","Master‘s studies",2,6634,"https://studyin.lt/programs/design-for-sustainable-future/","English"
"Mathematics","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/mathematics-2/","English"
"PhD in Environmental Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-environmental-engineering/","English"
"PhD in Transport Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-transport-engineering/","English"
"PhD in Materials Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-materials-engineering/","English"
"PhD in Civil Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-geotechnical-engineering/","English"
"PhD in Mechanical Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-mechanical-engineering/","English"
"PhD in Communication and Information","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-communication-and-information/","English"
"PhD in Communication and Information","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-communication-and-information-2/","English"
"PhD in Communication and Information","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-communication-and-information-3/","English"
"PhD in Communication and Information","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-communication-and-information-4/","English"
"PhD in Communication and Information","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-communication-and-information-5/","English"
"PhD in History and Theory of Arts","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-history-and-theory-of-arts/","English"
"PhD in Mechanical Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-mechanical-engineering-2/","English"
"PhD in Mechanical Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-mechanical-engineering-3/","English"
"PhD in Environmental Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-environmental-engineering-2/","English"
"PhD in Environmental Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-environmental-engineering-3/","English"
"PhD in Management","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-management-2/","English"
"PhD in Management","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-management-3/","English"
"PhD in Management","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-management-4/","English"
"PhD in Economics","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-economics-2/","English"
"PhD in Economics","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-economics-3/","English"
"PhD in Electrical and Electronics Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Doctoral studies",4,12449,"https://studyin.lt/programs/phd-in-electrical-and-electronics-engineering/","English"
"Fashion Management","Kazimieras Simonavicius University (KSU)","Master‘s studies",1.5,4400,"https://studyin.lt/programs/fashion-management/","English"
"Contemporary Communication and Media","Kazimieras Simonavicius University (KSU)","Bachelor's studies (university)",3.5,3500,"https://studyin.lt/programs/contemporary-communication-and-media/","English"
"English for Specific Purposes and Interculturality","Mykolas Romeris University","Master‘s studies",2,4984,"https://studyin.lt/programs/english-for-specific-purposes-and-interculturality/","English"
"Cinema Industry Management","Kazimieras Simonavicius University (KSU)","Bachelor's studies (university)",3.5,3600,"https://studyin.lt/programs/cinema-industry-management/","English"
"Language and AI Management","Vilnius University","Bachelor's studies (university)",4,4000,"https://studyin.lt/programs/language-and-ai-management/","English"
"Economics and Management","Vilnius University","Bachelor's studies (university)",3.5,3600,"https://studyin.lt/programs/economics-and-management/","English"
"Customs Process Management (Online)","Vytautas Magnus University","Master‘s studies",1,4384,"https://studyin.lt/programs/customs-process-management-online/","English"
"Economics and Finance","Vilnius University","Bachelor's studies (university)",4,3666,"https://studyin.lt/programs/economics-and-finance-2/","English"
"Aquamatics","Vytautas Magnus University","Master‘s studies",2,5266,"https://studyin.lt/programs/aquamatics/","English"
"Sport Studies (in Kaunas)","Vytautas Magnus University","Bachelor's studies (university)",4,5204,"https://studyin.lt/programs/sport-studies-in-kaunas/","English"
"Strategic Management of Information Systems","Vilnius University","Master‘s studies",1.5,5460,"https://studyin.lt/programs/strategic-management-of-information-systems/","English"
"Photography (Kaunas)","Vilnius Academy of Arts","Master‘s studies",2,6985,"https://studyin.lt/programs/photography-kaunas/","English"
"Sculpture (Telšiai)","Vilnius Academy of Arts","Bachelor's studies (university)",4,5555,"https://studyin.lt/programs/sculpture-telsiai/","English"
"Artworks Restoration and Conservation (Telšiai)","Vilnius Academy of Arts","Bachelor's studies (university)",4,5555,"https://studyin.lt/programs/artworks-restoration-and-conservation-telsiai/","English"
"Graphic Design (Klaipėda)","Vilnius Academy of Arts","Bachelor's studies (university)",4,5555,"https://studyin.lt/programs/graphic-design-klaipeda/","English"
"Public Health Education","Klaipeda University","Master‘s studies",2,5538,"https://studyin.lt/programs/public-health-education/","English"
"Public Health","Klaipeda University","Bachelor's studies (university)",3,4108,"https://studyin.lt/programs/public-health-2/","English"
"Preparatory English Language Course B2","Mykolas Romeris University","Non-degree studies",0.5,1180,"https://studyin.lt/programs/preparatory-english-language-courses-b1/","English"
"Fashion Design","Kauno kolegija Higher Education Institution","Bachelor's studies (college)",3.5,4505,"https://studyin.lt/programs/fashion-design/","English"
"Oral hygiene","Kauno kolegija Higher Education Institution","Bachelor's studies (college)",3,3353,"https://studyin.lt/programs/oral-hygiene/","English"
"Sustainability and Future Societies","Vilnius University","Bachelor's studies (university)",4,3185,"https://studyin.lt/programs/sustainability-and-future-societies/","English"
"Bioinformatics","Vilnius University","Bachelor's studies (university)",4,4000,"https://studyin.lt/programs/bioinformatics/","English"
"Financial Data Analytics and Sustainable Finance (FINDATA)","Vilnius University","Master‘s studies",2,5998,"https://studyin.lt/programs/financial-data-analytics-and-sustainable-finance-findata/","English"
"Strategic Economics","Vilnius University","Bachelor's studies (university)",1.5,5460,"https://studyin.lt/programs/strategic-economics/","English"
"Italian Philology","Vilnius University","Bachelor's studies (university)",4,4050,"https://studyin.lt/programs/italian-philology/","English"
"Central and East European Languages and Cultures (Russian Studies)","Vilnius University","Bachelor's studies (university)",4,4050,"https://studyin.lt/programs/central-and-east-european-languages-and-cultures-russian-studies/","Russian"
"International Trade and Customs Logistics","SMK College of Applied Sciences","Bachelor's studies (college)",3,2450,"https://studyin.lt/programs/international-trade-and-customs-logistics/","English"
"Future Business and Artificial Intelligence","SMK College of Applied Sciences","Bachelor's studies (college)",3,2450,"https://studyin.lt/programs/future-business-and-artificial-intelligence/","English"
"Sustainable Business and Green Technologies","SMK College of Applied Sciences","Bachelor's studies (college)",3,2450,"https://studyin.lt/programs/sustainable-business-and-green-technologies/","English"
"Restoration of Art and Interior Heritage (Vilnius)","Vilnius Academy of Arts","Master‘s studies",2,6985,"https://studyin.lt/programs/restoration-of-art-and-interior-heritage/","English"
"Business Building and Management","SMK College of Applied Sciences","Bachelor's studies (college)",3,2450,"https://studyin.lt/programs/business-building-and-management/","English"
"Design (Vilnius)","Vilnius Academy of Arts","Bachelor's studies (university)",4,5555,"https://studyin.lt/programs/design-vilnius-2/","English"
