"Program_title","Level","Field","Languages","Link","Institution"
"Bachelor in Applied Information Technology","Bachelor","Computer Science & ICT","English, French","https://www.uni.luhttps://www.uni.lu/fstm-en/study-programs/bachelor-in-applied-information-technology/","Université du Luxembourg"
"Bachelor in Applied Information Technology – Continuing Education Programme","Bachelor, Continuing education","Computer Science & ICT","English, French","https://www.uni.luhttps://www.uni.lu/fstm-en/study-programs/bachelor-in-applied-information-technology-continuing-education-programme/","Université du Luxembourg"
"Bachelor in Computer Science","Bachelor","Computer Science & ICT","English, French","https://www.uni.luhttps://www.uni.lu/fstm-en/study-programs/bachelor-in-computer-science/","Université du Luxembourg"
"Bachelor in Engineering – Civil Engineering","Bachelor","Engineering","English, French","https://www.uni.luhttps://www.uni.lu/fstm-en/study-programs/bachelor-in-engineering-civil-engineering/","Université du Luxembourg"
"Bachelor in Engineering – Digital Engineering","Bachelor","Engineering","English, French","https://www.uni.luhttps://www.uni.lu/fstm-en/study-programs/bachelor-in-engineering-digital-engineering/","Université du Luxembourg"
"Bachelor in Engineering – Electrical Engineering","Bachelor","Engineering","English, French","https://www.uni.luhttps://www.uni.lu/fstm-en/study-programs/bachelor-in-engineering-electrical-engineering/","Université du Luxembourg"
"Bachelor in Engineering – Energy and Environment","Bachelor","Engineering","English, French","https://www.uni.luhttps://www.uni.lu/fstm-en/study-programs/bachelor-in-engineering-energy-and-environment/","Université du Luxembourg"
"Bachelor in Engineering – European Construction Management","Bachelor","Engineering","English, French","https://www.uni.luhttps://www.uni.lu/fstm-en/study-programs/bachelor-in-engineering-european-construction-management/","Université du Luxembourg"
"Bachelor in Engineering – Mechanical Engineering","Bachelor","Engineering","English, French","https://www.uni.luhttps://www.uni.lu/fstm-en/study-programs/bachelor-in-engineering-mechanical-engineering/","Université du Luxembourg"
"Bachelor en Médecine","Bachelor","Life Sciences & Medicine","English, French","https://www.uni.luhttps://www.uni.lu/fstm-en/study-programs/bachelor-en-medecine/","Université du Luxembourg"
