"University","Title","Level","Link","Duration_years","ECTS","Language"
"University of Agder, South Norway","Academic Esports, Bachelor’s Programme","Bachelor","https://studyinnorway.no/study-opportunities/academic-esports-bachelors-programme",3,180,"English"
"UiT The Arctic University of Norway, North Norway","Aerospace Control Engineering - Master","Master","https://studyinnorway.no/study-opportunities/aerospace-control-engineering-master",2,120,"English"
"Norwegian University of Life Sciences, East Norway","Agroecology","Master","https://studyinnorway.no/study-opportunities/agroecology",2,120,"English"
"Norwegian University of Life Sciences, East Norway","Animal Science","Master","https://studyinnorway.no/study-opportunities/animal-science",2,120,"English"
"OsloMet – Oslo Metropolitan University, East Norway","Applied Computer and Information Technology (MSc)","Master","https://studyinnorway.no/study-opportunities/applied-computer-and-information-technology-msc",2,120,"English"
"UiT The Arctic University of Norway, North Norway","Applied Computer Science - Master","Master","https://studyinnorway.no/study-opportunities/applied-computer-science-master",2,120,"English"
"Norwegian University of Science and Technology, East Norway","Applied Computer Science - Master's Programme","Master","https://studyinnorway.no/study-opportunities/applied-computer-science-masters-programme",2,120,"English"
"Norwegian University of Life Sciences, East Norway","Applied Economics and Sustainability","Master","https://studyinnorway.no/study-opportunities/applied-economics-and-sustainability",2,120,"English"
"Norwegian University of Life Sciences, East Norway","Aquaculture","Master","https://studyinnorway.no/study-opportunities/aquaculture",2,120,"English"
"UiT The Arctic University of Norway,","Arctic Adventure Tourism - bachelor","Bachelor","https://studyinnorway.no/study-opportunities/arctic-adventure-tourism-bachelor",3,180,"English"
"UiT The Arctic University of Norway,","Arctic Nature Guide - one year programme","One-year programme","https://studyinnorway.no/study-opportunities/arctic-nature-guide-one-year-programme",1,60,"English"
"Western Norway University of Applied Sciences, West Norway","Art, culture and creativity in kindergarten","","https://studyinnorway.no/study-opportunities/art-culture-and-creativity-kindergarten",NA,30,"English"
"University of Agder, South Norway","Artificial Intelligence and The Internet of Things, Master's Programme","Master","https://studyinnorway.no/study-opportunities/artificial-intelligence-and-internet-things-masters-programme",2,120,"English"
"University of Oslo, East Norway","Asia and Middle East Studies","Master","https://studyinnorway.no/study-opportunities/asia-and-middle-east-studies",2,120,"English"
"University of Oslo, East Norway","Assessment, Measurement and Evaluation","Master","https://studyinnorway.no/study-opportunities/assessment-measurement-and-evaluation",2,120,"English"
"University of Oslo, East Norway","Astronomy","Master","https://studyinnorway.no/study-opportunities/astronomy",2,120,"English"
"University of Inland Norway, East Norway","Bachelor in animation and digital art","Bachelor","https://studyinnorway.no/study-opportunities/bachelor-animation-and-digital-art",3,180,"English"
"Kristiania University College, East Norway","Bachelor in Artificial Intelligence","Bachelor","https://studyinnorway.no/study-opportunities/bachelor-artificial-intelligence",3,180,"English"
"Fjellhaug International University College, East Norway","Bachelor in Bible, Ministry and Mission","Bachelor","https://studyinnorway.no/study-opportunities/bachelor-bible-ministry-and-mission",3,180,"English"
"Kristiania University College, East Norway","Bachelor in Computer Arts","Bachelor","https://studyinnorway.no/study-opportunities/bachelor-computer-arts",3,180,"English"
"University of Stavanger, West Norway","Bachelor in Dance","Bachelor","https://studyinnorway.no/study-opportunities/bachelor-dance",3,180,"English"
"Kristiania University College, East Norway","Bachelor in Data Science","Bachelor","https://studyinnorway.no/study-opportunities/bachelor-data-science",3,180,"English"
"University of Inland Norway, East Norway","Bachelor in game technology and simulation","Bachelor","https://studyinnorway.no/study-opportunities/bachelor-game-technology-and-simulation",3,180,"English"
"University of Agder, South Norway","Bachelor's Programme in Classical Music Performance","Bachelor","https://studyinnorway.no/study-opportunities/bachelors-programme-classical-music-performance",3,180,"English"
"University of Agder, South Norway","Bachelor's Programme in English","Bachelor","https://studyinnorway.no/study-opportunities/bachelors-programme-english",3,180,"English"
"University of Agder, South Norway","Bachelor's Programme in Global Development Studies","Bachelor","https://studyinnorway.no/study-opportunities/bachelors-programme-global-development-studies",3,180,"English"
"BI Norwegian Business School, East Norway","BI–Luiss Joint MSc in Marketing","Master","https://studyinnorway.no/study-opportunities/bi-luiss-joint-msc-marketing",2,120,"English"
"University of Stavanger, West Norway","Biological Chemistry - Master of Science Degree Programme","Master","https://studyinnorway.no/study-opportunities/biological-chemistry-master-science-degree-programme",2,120,"English"
"UiT The Arctic University of Norway,","Biology - master","Master","https://studyinnorway.no/study-opportunities/biology-master",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Biology - Master's Programme","Master","https://studyinnorway.no/study-opportunities/biology-masters-programme",2,120,"English"
"Nord University, North Norway","Biology, Bachelor of Science","Bachelor","https://studyinnorway.no/study-opportunities/biology-bachelor-science",3,180,"English"
"UiT The Arctic University of Norway,","Biomedicine - master","Master","https://studyinnorway.no/study-opportunities/biomedicine-master",2,120,"English"
"University of Oslo, East Norway","Bioscience","Master","https://studyinnorway.no/study-opportunities/bioscience",2,120,"English"
"Nord University, North Norway, Mid Norway","Biosciences, Master Degree","Master","https://studyinnorway.no/study-opportunities/biosciences-master-degree",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Biotechnology - Master's Programme","Master","https://studyinnorway.no/study-opportunities/biotechnology-masters-programme",2,120,"English"
