"Area","Programme","Level","Mode","University","University_URL","Programme_URL","Contact","Language"
"Social sciences","Administration","Bachelor Programme","full-time programme","Jan Kochanowski University of Kielce","https://www.ujk.edu.pl/filia_w_piotrkowie_trybunalskim.html","https://study.gov.pl/jan-kochanowski-university-kielce-3","mailto:rekrutacja@ujk.edu.pl","English"
"Social sciences","Administration","Master's Programme","full-time programme","University of Wroclaw","https://uwr.edu.pl/en/","https://study.gov.pl/university-wroclaw-17","mailto:study.law-economics@uwr.edu.pl","English"
"Social sciences","Advanced analytics – big data","Master's Programme","full-time programme","SGH Warsaw School of Economics","https://go-poland.pl/university/warsaw-school-economics-sgh","https://study.gov.pl/sgh-warsaw-school-economics-14","mailto:admission@sgh.waw.pl","English"
"Science","Advanced Materials and Nanotechnology","Bachelor Programme","full-time programme","Lodz University of Technology","https://p.lodz.pl/en","https://study.gov.pl/lodz-university-technology-8","mailto:foreignstudents@info.p.lodz.pl","English"
"Science","Advanced spectroscopy in chemistry","Master's Programme","full-time programme","Jagiellonian University in Kraków","https://go-poland.pl/university/jagiellonian-university-krakow","https://study.gov.pl/jagiellonian-university-krak-w-20","mailto:master-ASC@univ-lille1.fr ","English"
"Technological sciences","Aerospace engineering and astronautics","Master's Programme","full-time programme","Rzeszow University of Technology","https://go-poland.pl/university/rzeszow-university-technology","https://study.gov.pl/rzeszow-university-technology-1","mailto: ppawlus@prz.edu.pl","English"
"Technological sciences","Aerospace engineering and astronautics","Bachelor Programme","full-time programme","Military University of Technology","https://wml.wat.edu.pl/en/","https://study.gov.pl/military-university-technology-9","mailto:mateusz.dziemdziela@wat.edu.pl","English"
"Technological sciences","Aerospace engineering and astronautics","Master's Programme","full-time programme","Warsaw University of Technology","https://go-poland.pl/university/warsaw-university-technology","https://study.gov.pl/warsaw-university-technology-4","mailto:students.cwm@pw.edu.pl","English"
"Technological sciences","Aerospace engineering and astronautics","Bachelor Programme","full-time programme","Warsaw University of Technology","https://go-poland.pl/university/warsaw-university-technology","https://study.gov.pl/warsaw-university-technology","mailto:students.cwm@pw.edu.pl","English"
"Technological sciences","Aerospace engineering and astronautics","Bachelor Programme","full-time programme","Military University of Aviation","https://law.mil.pl/index.php/en/","https://study.gov.pl/military-university-aviation","mailto:r.czapla@law.mil.pl","English"
"Technological sciences","Aerospace engineering and astronautics","Master's Programme","full-time programme","Polish Air Force Academy","https://study.gov.pl/university/polish-air-force-academy","https://study.gov.pl/polish-air-force-academy-0","mailto: r.czapla@wsosp.pl","English"
"Social sciences","Agri-food Economics and Trade","Master's Programme","full-time programme","Poznań University of Life Sciences","https://go-poland.pl/university/poznan-university-life-sciences","https://study.gov.pl/poznan-university-life-sciences-2","mailto:mscinfo@up.poznan.pl","English"
"Agricultural, forestry and veterinary sciences","Agricultural engineering","Master's Programme","full-time programme","University of Warmia and Mazury in Olsztyn","https://go-poland.pl/university/university-warmia-and-mazury-olsztyn","https://study.gov.pl/university-warmia-and-mazury-olsztyn-3","mailto:janusz.golaszewski@uwm.edu.pl","English"
"Agricultural, forestry and veterinary sciences","Agricultural engineering","Bachelor Programme","full-time programme","University of Agriculture in Krakow","https://go-poland.pl/university/university-agriculture-krakow","https://study.gov.pl/university-agriculture-krakow","mailto:rrciarko@cyf-kr.edu.pl","English"
"Agricultural, forestry and veterinary sciences","Agricultural engineering","Bachelor Programme","full-time programme","Bachelor Studies - Agriculture","https://wre.urk.edu.pl/","https://study.gov.pl/bachelor-studies-agriculture","mailto:admissions@urk.edu.pl","English"
"Agricultural, forestry and veterinary sciences","Agronomy","Master's Programme","full-time programme","Poznań University of Life Sciences","https://go-poland.pl/university/poznan-university-life-sciences","https://study.gov.pl/poznan-university-life-sciences-0","mailto:mscinfo@up.poznan.pl","English"
"Agricultural, forestry and veterinary sciences","Agronomy","Doctoral studies","full-time programme","Wroclaw University of Environmental and Life Sciences","https://go-poland.pl/university/wroclaw-university-environmental-and-life-sciences","https://study.gov.pl/wroclaw-university-environmental-and-life-sciences-1","mailto:szkola.doktorska@upwr.edu.pl","English"
"Agricultural, forestry and veterinary sciences","Agronomy","Master's Programme","full-time programme","Interdisciplinary Bioeconomy Studies","https://wre.urk.edu.pl/","https://study.gov.pl/interdisciplinary-bioeconomy-studies","mailto:admissions@urk.edu.pl","English"
"Social sciences","American studies","Master's Programme","full-time programme","University of Warsaw","https://go-poland.pl/university/university-warsaw","https://study.gov.pl/university-warsaw-20","mailto:asc@uw.edu.pl","English"
"Humanities","American studies","Master's Programme","full-time programme","University of Silesia in Katowice","https://go-poland.pl/university/university-silesia-katowice","https://study.gov.pl/american-and-canadian-studies-intercultural-communications-and-diplomacy-ma","mailto:admission@us.edu.pl","English"
"Social sciences","American studies","Bachelor Programme","full-time programme","University of Warsaw","https://go-poland.pl/university/university-warsaw","https://study.gov.pl/university-warsaw-18","mailto:asc@uw.edu.pl","English"
"Social sciences","American studies","Bachelor Programme","part-time programme","University of Warsaw","https://go-poland.pl/university/university-warsaw","https://study.gov.pl/university-warsaw-19","mailto:asc@uw.edu.pl","English"
"Agricultural, forestry and veterinary sciences","Animal husbandry","Master's Programme","full-time programme","University of Agriculture in Krakow","https://go-poland.pl/university/university-agriculture-krakow","https://study.gov.pl/university-agriculture-krakow-3","mailto:rzmakuls@cyf-kr.edu.pl ","English"
"Agricultural, forestry and veterinary sciences","Animal husbandry","Doctoral studies","full-time programme","Wroclaw University of Environmental and Life Sciences","https://go-poland.pl/university/wroclaw-university-environmental-and-life-sciences","https://study.gov.pl/wroclaw-university-environmental-and-life-sciences-8","mailto:szkola.doktorska@upwr.edu.pl","English"
"Agricultural, forestry and veterinary sciences","Animal husbandry","Bachelor Programme","full-time programme","University of Life Sciences in Lublin","http://www.up.lublin.pl/english/","https://study.gov.pl/university-life-sciences-lublin-2","mailto:rekrutacja@up.lublin.pl ","English"
"Agricultural, forestry and veterinary sciences","Animal Production Management","Master's Programme","full-time programme","University","https://go-poland.pl/university/poznan-university-life-sciences","https://study.gov.pl/poznan-university-life-sciences-6","mailto:animal.production@up.poznan.pl","English"
"Science","Applied chemistry","Master's Programme","full-time programme","University of Bialystok","https://study.gov.pl/university/university-bialystok","https://study.gov.pl/university-bialystok-3","mailto:studyinuwb@uwb.edu.pl","English"
"Humanities","Applied gender studies","Master's Programme","full-time programme","University of Opole","https://go-poland.pl/university/university-opole","https://study.gov.pl/university-opole-8","mailto:hello@uni.opole.pl","English"
"Science","Applied information science","Bachelor Programme","full-time programme","Cracow University of Economics","https://go-poland.pl/university/cracow-university-economics","https://study.gov.pl/cracow-university-economics-4","mailto:applied.informatics@uek.krakow.pl","English"
"Science","Applied mathematics","Master's Programme","full-time programme","Wrocław University of Science and Technology","https://go-poland.pl/university/wroclaw-university-technology","https://study.gov.pl/wroclaw-university-science-and-technology-15","mailto:admission@pwr.edu.pl","English"
"Technological sciences","Applied Physics","Master's Programme","full-time programme","Cracow University of Technology","https://go-poland.pl/university/cracow-university-technology","https://study.gov.pl/cracow-university-technology-8","mailto:agnieszka.piekarz@pk.edu.pl","English"
"Humanities","Archeology","Bachelor Programme","full-time programme","University of Warsaw","https://go-poland.pl/university/university-warsaw","https://study.gov.pl/university-warsaw-0","mailto:rekr.archeo@ue.edu.pl","English"
"Humanities","Archeology","Master's Programme","full-time programme","University of Warsaw","https://go-poland.pl/university/university-warsaw","https://study.gov.pl/university-warsaw-1","mailto:rekr.archeo@ue.edu.pl","English"
"Technological sciences","Architecture","Master's Programme","full-time programme","Cracow University of Technology","https://go-poland.pl/university/cracow-university-technology","https://study.gov.pl/cracow-university-technology","mailto:adebska@pk.edu.pl","English"
"Technological sciences","Architecture","Master's Programme","full-time programme","Silesian University of Technology","https://go-poland.pl/university/silesian-university-technology","https://study.gov.pl/silesian-university-technology-19","mailto:study@polsl.pl","English"
"Technological sciences","Architecture","Bachelor Programme","full-time programme","Poznan University of Technology","https://go-poland.pl/university/poznan-university-technology","https://study.gov.pl/poznan-university-technology","mailto:study@put.poznan.pl","English"
"Technological sciences","Architecture","Bachelor Programme","full-time programme","Warsaw University of Technology","https://study.gov.pl/university/warsaw-university-technology","https://study.gov.pl/warsaw-university-technology-13","mailto:students.cwm@pw.edu.pl","English"
"Technological sciences","Architecture","Bachelor Programme","full-time programme","University College of Enterprise and Administration in Lublin","https://go-poland.pl/university-college-enterprise-and-administration-lublin","https://study.gov.pl/university-college-enterprise-and-administration-lublin-6","mailto:d.maruszak@wspa.pl","English"
"Technological sciences","Architecture","Master's Programme","full-time programme","Lodz University of Technology","https://p.lodz.pl/en","https://study.gov.pl/lodz-university-technology-15","mailto:foreignstudents@info.p.lodz.pl","English"
"Technological sciences","Architecture","Bachelor Programme","full-time programme","Gdańsk University of Technology","http://www.pg.edu.pl","https://study.gov.pl/gdansk-university-technology-3","mailto:study@pg.edu.pl","English"
"Technological sciences","Architecture","Bachelor Programme","full-time programme","Cracow University of Technology","https://go-poland.pl/university/cracow-university-technology","https://study.gov.pl/cracow-university-technology-5","mailto:adebska@pk.edu.pl","English"
"Technological sciences","Architecture","Master's Programme","full-time programme","Wrocław University of Science and Technology","https://go-poland.pl/university/wroclaw-university-technology","https://study.gov.pl/wroc-aw-university-technology-9","mailto:admission@pwr.wroc.pl","English"
"Technological sciences","Architecture","Master's Programme","full-time programme","Gdańsk University of Technology","http://www.pg.edu.pl","https://study.gov.pl/gdansk-university-technology","mailto:study@pg.edu.pl","English"
"Technological sciences","Architecture","Bachelor Programme","full-time programme","Lodz University of Technology","https://p.lodz.pl/en","https://study.gov.pl/lodz-university-technology","mailto:foreignstudents@info.p.lodz.pl","English"
"Technological sciences","Architecture and urban planning","Bachelor Programme","full-time programme","Vistula University","https://vistula.edu.pl/en","https://study.gov.pl/vistula-university-5","mailto:admission2@vistula.edu.pl","English"
"Technological sciences","Architecture and urban planning","Master's Programme","full-time programme","Bialystok University of Technology","https://go-poland.pl/university/bialystok-university-technology","https://study.gov.pl/bialystok-university-technology","mailto:studyinbut@pb.edu.pl","English"
"Technological sciences","Architecture and urban planning","Master's Programme","full-time programme","Wrocław University of Science and Technology","https://go-poland.pl/university/wroclaw-university-technology","https://study.gov.pl/wroc-aw-university-technology","mailto:admission@pwr.edu.pl","English"
"Technological sciences","Architecture and urban planning","Master's Programme","full-time programme","Poznan University of Technology","https://go-poland.pl/university/poznan-university-technology","https://study.gov.pl/poznan-university-technology-4","mailto:study@put.poznan.pl","English"
"Technological sciences","Architecture for society of knowledge","Master's Programme","full-time programme","Warsaw University of Technology","https://go-poland.pl/university/warsaw-university-technology","https://study.gov.pl/warsaw-university-technology-0","mailto:students.cwm@pw.edu.pl","English"
"Arts","Art and design","Bachelor Programme","full-time programme","SWPS University","https://go-poland.pl/university/swps-university-social-sciences-and-humanities","https://study.gov.pl/swps-university","mailto:admissions@swps.edu.pl","English"
