"Program_name","Institution","Level","Language","Link"
"ACCOUNTANCY AND AUDIT","Western Serbia Academy of Applied Studies - Uzice Department","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/western-serbia-academy-of-applied-studies-uzice-department-specialist-applied-accountancy-and-audit"
"ACCOUNTANCY AND AUDIT","Faculty of Economics - unit in Novi Sad","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-economics-master-accountancy-and-audit-novi-sad"
"ACCOUNTANCY AND AUDIT","Faculty of Economics","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-economics-master-accountancy-and-audit"
"ACCOUNTANCY, MONITORING AND AUDIT","Belgrade Business and Arts Academy of Applied Studies - Department of Business and Information Studies","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/belgrade-business-and-arts-academy-of-applied-studies-department-of-business-and-information-studies-belgrade-specialist-applied-accountancy-monitoring-and-audit"
"ACCOUNTING AND AUDIT","Western Serbia Academy of Applied Studies - Uzice Department","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/western-serbia-academy-of-applied-studies-uzice-department-bachelor-applied-accounting-and-audit"
"ACCOUNTING AND AUDIT","College of Economics and Administration","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/college-of-economics-and-administration-belgrade-bachelor-applied-accounting-and-audit"
"ACCOUNTING, CONTROLlING, AND BUSINESS FINANCE (3 MODULES)","Faculty of Economics","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-economics-master-accounting-controlling-and-business-finance"
"ACTING","Faculty of Drama Arts","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-arts-in-belgrade-faculty-of-drama-arts-bachelor-acting"
"ACTING","Faculty of Contemporary Art","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/business-academy-university-faculty-of-contemporary-art-master-acting"
"ACTING","Faculty of Contemporary Art","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/business-academy-university-faculty-of-contemporary-art-bachelor-acting"
"ACTING","Academy of Arts","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-academy-of-arts-master-acting"
"ACTING","Academy of Arts Belgrade","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/alfa-bk-university-academy-of-arts-belgrade-bachelor-acting"
