"Level","Programme","Institution","Language"
"Bachelor","Slovenian Studies","New University Faculty of Slovenian and International Studies","English"
"Bachelor","Bioinformatics Mathematics","University of Primorska Faculty of Mathematics, Natural Sciences and Information technologies","English"
"Bachelor","Management","University of Primorska Faculty of Management","English"
"Bachelor","Mathematics","University of Primorska Faculty of Mathematics, Natural Sciences and Information technologies","English"
"Bachelor","Computer science","University of Primorska Faculty of Mathematics, Natural Sciences and Information technologies","English"
"Bachelor","University degree programme in business and economics","University of Ljubljana, School of Economics and Business","English"
"Bachelor","System Logistics","University of Maribor, Faculty of Logistics","English"
"Bachelor","Crisis Management","University of Maribor, Faculty of Organizational sciences","English"
"Bachelor","Economic and business studies","University of Maribor, Faculty of Economics and Business","English"
"Bachelor","Economic and tehnical logistics","University of Maribor, Faculty of Logistics","English"
"Bachelor","Physics and Astrophysics I. level","University of Nova Gorica, School of Science","English"
"Bachelor","Dance, choreography","ALMA MATER EUROPAEA, Academy of dance","English"
"Bachelor","Archival Studies","ALMA MATER EUROPAEA, European Centre, Maribor","English"
"Bachelor","Nursing","ALMA MATER EUROPAEA, European Centre, Maribor","English"
"Bachelor","Entrepreneurship","GEA College, Faculty of Entrepreneurship","English"
"Bachelor","Management and Law","MLC Management and law college Ljubljana","English"
"Bachelor","Tourism Enterpirse Management","University of Primorska, Faculty of Turism Studies – Turistica","English"
"Bachelor","Contemporary Tourism Practices","University of Maribor, Faculty of Tourism","English"
"Bachelor","Hospitality and tourism","College of hospitality and tourism management Bled","English"
"Bachelor","Medical Tourism","College of hospitality and tourism management Bled","English"
"Bachelor","International Logistics Management","Faculty for transport and logistics","English"
"Bachelor","Anthropology – Double-discipline study programme","University of Primorska, Faculty of Humanities","English"
"Bachelor","Cultural Heritage – Double-discipline Module","University of Primorska, Faculty of Humanities","English"
"Bachelor","Materials engineeringGeology","University of Ljubljana, Faculty of Natural Sciences and Engineering","English"
"Bachelor","International Business program","IBS International Business School Ljubljana","English"
"Bachelor","Landscape Management","The Landscape Governance College","English"
"Bachelor","Visual Arts","Academy of visual arts AVA","English"
"Bachelor","Entrepreneurship and International Business","ERUDIO International School","English"
"Bachelor","International Logistics Management","NOA","English"
"Master","Dance Studies","ALMA MATER EUROPAEA, Academy of dance","English"
"Master","Environmental Studies","ALMA MATER EUROPEA, Environmental Studies","English"
"Master","European Business Studies","ALMA MATER EUROPEA, Business Studies","English"
"Master","Health Sciences","ALMA MATER EUROPEA, Health Science","English"
"Master","Archives and Records Management","ALMA MATER EUROPAEA, European Centre, Maribor","English"
"Master","Humanities","Alma Mater Europaea, Faculty for humanities studies, Institutum Studiorum Humanitatis, Ljubljana","English"
"Master","Intercultural Business Communication","Euro-Mediterranean University","English"
"Master","Kinesiology of Human Performance","Euro-Mediterranean University","English"
"Master","Management","IEDC – Bled School of Management, Postgraduate Studies","English"
"Master","Management and Business Law","MLC Management and law college, Ljubljana","English"
"Master","Alternative dispute resolution","New University, European Faculty of Law","English"
"Master","Civil and business law","New University, European Faculty of Law","English"
"Master","Law","New University, European Faculty of Law","English"
"Master","Real Estate Law and Management","New University, European Faculty of Law","English"
"Master","Public Administration","New University, Faculty of Government and European Studies","English"
"Master","International and Diplomacy Studies","New University, Faculty of Government and European Studies","English"
"Master","Slovenian studies","New University, Faculty of Slovenian and International Studies","English"
"Master","Economics and Finance","University of Primorska, Faculty of Management","English"
