"University","Degree","Level","Language","Credits_Percent","Area","ECTS_Foreign","Cost_per_ECTS","ECTS","Subjects_Foreign","Linguistic_Requirements","Program_Link"
"UNIVERSIDAD EUROPEA DEL ATLÁNTICO","Applied Languages","Bachelor","English","32,50%",NA,"78","98","240 (4 years)","13","B2",""
"UNIVERSIDAD EUROPEA DEL ATLÁNTICO","Primary Education","Bachelor","English","27,50%",NA,"66","98","240 (4 years)","11","B2",""
"UNIVERSIDAD SAN JORGE","Advertising and Public Relations","Bachelor","English","15%",NA,"36","152","240 (4 years)","6","B1 Spanish / B1 English","https://www.usj.es/be-international/incoming/en/courses/undergraduate/advertising"
"UNIVERSIDAD SAN JORGE","Architecture","Bachelor","English","10%",NA,"30","168","300 (5 years)","8","B1 Spanish / B1 English","https://www.usj.es/be-international/incoming/en/courses/undergraduate/architecture"
"UNIVERSIDAD SAN JORGE","Business Administration","Bachelor","English","35%",NA,"84","152","240 (4 years)","16","B1 Spanish / B1 English","https://www.usj.es/be-international/incoming/en/courses/undergraduate/business"
"UNIVERSIDAD SAN JORGE","Computer Engineering","Bachelor","English","45%",NA,"108","156","240 (4 years)","18","B1 Spanish / B1 English","https://www.usj.es/be-international/incoming/en/courses/undergraduate/computing"
"UNIVERSIDAD SAN JORGE","Design and Development of Videogames","Bachelor","English","45%",NA,"108","156","240 (4 years)","18","B1 Spanish / B1 English","https://www.usj.es/be-international/incoming/en/courses/undergraduate/videogames"
"UNIVERSIDAD SAN JORGE","Film, TV and Digital Media","Bachelor","English","15%",NA,"36","152","240 (4 years)","7","B1 Spanish / B1 English","https://www.usj.es/be-international/incoming/en/courses/undergraduate/media"
"UNIVERSIDAD SAN JORGE","Infant Education","Bachelor","English","25%",NA,"60","123","240 (4 years)","13","B1 Spanish / B1 English","https://www.usj.es/be-international/incoming/en/courses/undergraduate/infant"
"UNIVERSIDAD SAN JORGE","Journalism","Bachelor","English","15%",NA,"36","152","240 (4 years)","9","B1 Spanish / B1 English","https://www.usj.es/be-international/incoming/en/courses/undergraduate/law"
"UNIVERSIDAD SAN JORGE","Law","Bachelor","English","5%",NA,"12","152","240 (4 years)","2","B1 Spanish / A2 English","https://www.usj.es/be-international/incoming/en/courses/undergraduate/nursing"
"UNIVERSIDAD SAN JORGE","Nursing","Bachelor","English","5%",NA,"12","166","240 (4 years)","1","B1 Spanish / A2 English","https://www.usj.es/be-international/incoming/en/courses/undergraduate/nursing"
"UNIVERSIDAD SAN JORGE","Pharmacy","Bachelor","English","20%",NA,"60","182","300 (5 years)","6","B1 Spanish / A2 English","https://www.usj.es/be-international/incoming/en/courses/undergraduate/pharmacy"
"UNIVERSIDAD SAN JORGE","Physiotherapy","Bachelor","English","20%",NA,"48","166","240 (4 years)","2","B1 Spanish / A2 English","https://www.usj.es/be-international/incoming/en/courses/undergraduate/physiotherapy"
