"Title","Study_Level","University","City","Credits","Field","Language"
"Agricultural, Food and Environmental Policy Analysis (AFEPA) - Master's Programme","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Agroecology - Master's Programme","Master","Swedish University of Agricultural Sciences","Lomma","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Animal Science - master´s programme","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"EnvEuro - European Master in Environmental Science","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Euroforester (MSc)","Master","Swedish University of Agricultural Sciences","Lomma","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Forest and Landscape (BSc)","Bachelor","Swedish University of Agricultural Sciences","Lomma","180 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Forest Bioeconomy (MSc)","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Forest Ecology and Sustainable Management (MSc)","Master","Swedish University of Agricultural Sciences","Umeå","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Forestry for Green Sustainable Development, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Horticultural Science - Master's Programme","Master","Swedish University of Agricultural Sciences","Lomma","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Industrial Wood Supply Management (MSc)","Master","Swedish University of Agricultural Sciences","Umeå","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Master Programme in Biology: Ecology and Conservation Biology","Master","Karlstad University","Karlstad","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Master Programme in Biology: Ecology and Conservation Biology","Master","Karlstad University","Karlstad","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Master programme in Wood Technology, international students","Master","Luleå University of Technology","Skellefteå","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
