"University","Programme","City","Study_Level","Study_Type","Study_Language","Price"
"ISTANBUL UNIVERSITY","ACTING PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","BALLET PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","CELLO PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","CLARINET PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","COMPARATIVE MUSIC OF THE OTTOMAN PERIOD PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","COMPOSITION PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","DOUBLE BASS PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","ETHNOMUSICOLOGY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","FAGOT PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","FLUTE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","FRENCH HORN PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","GUITAR PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH",""
"ISTANBUL UNIVERSITY","GUITAR PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","HARP PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH",""
"ISTANBUL UNIVERSITY","HARP PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","JAZZ PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH",""
"ISTANBUL UNIVERSITY","JAZZ PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","MUSICAL THEATER PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","OBOE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH",""
"ISTANBUL UNIVERSITY","OBOE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","OPERA PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","70.000,00  TL"
"ISTANBUL UNIVERSITY","OPERA PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH",""
